DAY,AVG WAIT TIME (MIN)
2/1/23,52.20762185
2/2/23,59.49021805
2/3/23,61.7915968
2/4/23,68.5030208
2/5/23,57.76879324
2/6/23,74.69772002
2/7/23,65.02551174
2/8/23,56.73531952
2/9/23,67.77011786
2/10/23,65.01882551
2/11/23,65.47698671
2/12/23,62.11055368
2/13/23,72.26519862
2/14/23,56.2667689
2/15/23,48.29991287
2/16/23,58.42303123
2/17/23,82.8249722
2/18/23,86.9378336
2/19/23,88.53199093
2/20/23,83.94999923
2/21/23,100.4866191
2/22/23,82.95536692
2/23/23,80.52675046
2/24/23,77.17057023
2/25/23,59.29081165
2/26/23,47.29485673
2/27/23,52.46512989
2/28/23,47.96773931
3/1/23,47.60901809
3/2/23,48.53080147
3/3/23,54.4131933
3/4/23,50.65941338
3/5/23,45.27847347
3/6/23,55.39593047
3/7/23,51.63202636
3/8/23,49.17568181
3/9/23,58.59858777
3/10/23,67.06372485
3/11/23,61.36457589
3/12/23,74.89374308
3/13/23,81.77419445
3/14/23,97.44985386
3/15/23,95.3223602
3/16/23,90.68307506
3/17/23,76.78269454
3/18/23,61.20609996
3/19/23,55.01435755
3/20/23,74.24637038
3/21/23,71.96197257
3/22/23,63.70109428
3/23/23,66.62270274
3/24/23,66.95229675
3/25/23,57.34428814
3/26/23,51.18206438
3/27/23,65.15521334
3/28/23,72.03173181
3/29/23,70.73139965
3/30/23,69.70416065
3/31/23,73.29347139
4/1/23,58.67709489
4/2/23,74.49107697
4/3/23,87.42416827
4/4/23,97.94942527
4/5/23,91.24565318
4/6/23,86.44604143
4/7/23,85.89479292
4/8/23,76.89191484
4/9/23,66.85537042
4/10/23,78.5375915
4/11/23,85.85420462
4/12/23,83.92685242
4/13/23,70.05151963
4/14/23,61.6143073
4/15/23,51.78178202
4/16/23,42.17369704
4/17/23,50.57545668
4/18/23,52.62451227
4/19/23,47.38810325
4/20/23,50.60444697
4/21/23,65.84072478
4/22/23,64.98611285
4/23/23,51.34896385
4/24/23,55.21589564
4/25/23,52.40885663
4/26/23,45.6193475
4/27/23,51.24209083
4/28/23,52.51971378
4/29/23,56.55296442
4/30/23,50.1259065
5/1/23,58.31460735
5/2/23,50.04415683
5/3/23,42.74109577
5/4/23,54.31814769
5/5/23,51.53440321
5/6/23,56.73024253
5/7/23,46.92631345
5/8/23,61.7735576
5/9/23,53.96597482
5/10/23,41.01531135
5/11/23,45.13693961
5/12/23,50.86251603
5/13/23,48.67277789
5/14/23,40.87476528
5/15/23,46.85890746
5/16/23,44.65440023
5/17/23,40.91834351
5/18/23,47.23847893
5/19/23,50.54265735
5/20/23,50.76733723
5/21/23,46.18692932
5/22/23,52.01003723
5/23/23,52.11811407
5/24/23,44.73188029
5/25/23,50.65178366
5/26/23,57.71089817
5/27/23,56.8135444
5/28/23,59.99787544
5/29/23,53.85319484
5/30/23,63.59365582
5/31/23,61.36734001
6/1/23,54.9993132
6/2/23,58.37354008
6/3/23,50.95441043
6/4/23,50.54435184
6/5/23,67.50434261
6/6/23,64.53196506
6/7/23,58.55528034
6/8/23,61.58868993
6/9/23,60.52087633
6/10/23,50.47849517
6/11/23,48.97293366
6/12/23,64.47180729
6/13/23,60.05804521
6/14/23,52.6091315
6/15/23,56.74656571
6/16/23,64.66537903
6/17/23,56.5235369
6/18/23,53.0682772
6/19/23,63.91526422
6/20/23,67.52835653
6/21/23,70.12870963
6/22/23,71.05950938
6/23/23,67.8145117
6/24/23,56.47677863
6/25/23,55.28262727
6/26/23,68.98616075
6/27/23,66.34191981
6/28/23,62.64937439
6/29/23,61.10894721
6/30/23,57.86865843
7/1/23,45.88664991
7/2/23,46.85359823
7/3/23,52.00306493
7/4/23,44.31317977
7/5/23,56.91321786
7/6/23,60.69698012
7/7/23,62.81059879
7/8/23,60.95670293
7/9/23,53.18563965
7/10/23,55.83624101
7/11/23,66.32553587
7/12/23,60.74271601
7/13/23,57.40130863
7/14/23,64.28409545
7/15/23,54.79417999
7/16/23,53.53263337
7/17/23,61.85299245
7/18/23,65.49549664
7/19/23,64.52805462
7/20/23,63.17813456
7/21/23,62.0517103
7/22/23,54.67412163
7/23/23,57.36578135
7/24/23,75.68757823
7/25/23,72.53154852
7/26/23,64.38007461
7/27/23,64.09054588
7/28/23,58.35545321
7/29/23,62.43302472
7/30/23,58.15036497
7/31/23,62.30338249
8/1/23,62.51046619
8/2/23,51.56725072
8/3/23,57.23629842
8/4/23,65.76781995
8/5/23,64.42099665
8/6/23,56.63575275
8/7/23,65.15438971
8/8/23,57.93104212
8/9/23,60.39900658
8/10/23,61.93878465
8/11/23,53.24956185
8/12/23,56.72005228
8/13/23,51.26833132
8/14/23,59.71891042
