,RIDE,TIME_OF_DAY,count,mean,std,min,25%,50%,75%,max
41,BIG THUNDER MOUNTAIN,2 PM,12.0,43.24175398666666,8.083111369816537,29.30494905,37.36523423,43.382336415,48.342319527499996,55.49100968
42,BIG THUNDER MOUNTAIN,3 PM,12.0,39.65727468083333,7.469356785669779,26.76671214,35.508533555,39.095855695,45.345598730000006,51.99926632
43,BIG THUNDER MOUNTAIN,4 PM,12.0,43.88369678749999,10.75774957514765,26.87583893,37.986173675,42.34078114,51.024428310000005,60.20044543
44,BIG THUNDER MOUNTAIN,5 PM,12.0,42.18620922583334,9.616551717475671,26.89518586,35.707638515,42.01786031,47.624252595,56.99426934
45,BIG THUNDER MOUNTAIN,6 PM,12.0,44.57989028750001,10.116791843300224,26.41717791,37.1366991025,44.48061985,50.004579115,60.22803115
46,BIG THUNDER MOUNTAIN,7 PM,12.0,33.71206317916667,7.27948115756835,22.32291667,26.7155902875,34.894157899999996,39.4519830875,42.0011534
47,BIG THUNDER MOUNTAIN,8 AM,8.0,10.287906145000001,4.125154138798779,4.324200913,8.11722772925,10.184842459999999,11.4222973,18.50869565
48,BIG THUNDER MOUNTAIN,8 PM,12.0,26.15763941583333,6.0666347897703385,16.27922078,22.146536355,26.79565171,29.9631126575,36.32481506
49,BIG THUNDER MOUNTAIN,9 AM,12.0,20.220136180916665,5.1685905805402985,9.032477341,17.01694972,20.936213925,23.85407844,26.85692542
50,BIG THUNDER MOUNTAIN,9 PM,12.0,23.708706199166667,6.678056012675826,12.60869565,20.327666805,22.85225585,29.582470035,33.67532468
51,EXPEDITION EVEREST,1 PM,12.0,38.328863928333334,5.892303035812294,26.08152531,33.342868005,39.75121359,42.5809995575,45.39180229
52,EXPEDITION EVEREST,10 AM,12.0,31.215877199166666,6.204670832049255,19.3974359,27.364045439999998,32.361357075,37.071722914999995,38.68421053
53,EXPEDITION EVEREST,10 PM,3.0,11.948210922333333,11.890608789017941,5.0,5.083333333500001,5.166666667,15.4223163835,25.6779661
54,EXPEDITION EVEREST,11 AM,12.0,37.52672396916667,5.711007983596518,26.24604681,33.798366975,38.752476985,41.885455147500004,45.50486618
55,EXPEDITION EVEREST,11 PM,2.0,10.0,7.0710678118654755,5.0,7.5,10.0,12.5,15.0
56,EXPEDITION EVEREST,12 PM,12.0,40.001714390833335,5.55731089259873,29.6972594,36.656500072499995,40.50102311,44.927280265,46.82912154
57,EXPEDITION EVEREST,2 PM,12.0,34.39587780666667,6.32952063004917,22.71438217,28.9212675875,36.581778315,39.213191355000006,41.15313081
58,EXPEDITION EVEREST,3 PM,12.0,33.37898331666667,7.278980637839898,19.54175153,27.8553609075,34.37527971,38.1709867175,43.94672382
59,EXPEDITION EVEREST,4 PM,12.0,30.242054847500004,6.86263356885855,18.8650519,25.9566270575,29.805380245000002,33.755614127499996,42.43331357
60,EXPEDITION EVEREST,5 PM,12.0,26.956754875,8.202164530179985,15.97747093,20.859326695,26.726562389999998,29.473547115,43.08814945
61,EXPEDITION EVEREST,6 PM,12.0,21.494549874166665,7.488045143796276,12.17028986,16.38937059,20.857683625,26.07177545,37.13191991
62,EXPEDITION EVEREST,7 AM,12.0,4.781117704833334,0.2442313357352528,4.420074349,4.6268864285,4.7554247709999995,4.887835239999999,5.3
63,EXPEDITION EVEREST,7 PM,12.0,18.956149133416666,12.380920594396562,8.181818182,12.2313384825,17.535106815,20.1564793625,54.95652174
64,EXPEDITION EVEREST,8 AM,12.0,7.910421868666664,1.601103783558315,5.476688868,6.716199119,7.390933938,9.208546369499999,10.70547471
65,EXPEDITION EVEREST,8 PM,9.0,12.82464607488889,4.939014702627764,6.732673267,9.285714286,10.80645161,15.62962963,21.66666667
66,EXPEDITION EVEREST,9 AM,12.0,20.348067075,5.140315651488879,10.13915244,17.0441151375,20.875525105,25.0523918,26.88189911
67,EXPEDITION EVEREST,9 PM,3.0,18.600753295666667,19.13407196202977,5.166666667,7.6468926535,10.12711864,25.31779661,40.50847458
68,FROZEN EVER AFTER,1 PM,12.0,78.52912787083334,6.36761213043721,67.08664021,76.6197427,79.67397726,81.5126284225,90.92504462
69,FROZEN EVER AFTER,10 AM,12.0,59.15422672833333,5.589975349273695,51.640625,54.35705698,60.06956889,62.56006424,68.83069083
70,FROZEN EVER AFTER,10 PM,12.0,19.761609245,7.096205419155563,10.17676768,15.0006671375,20.302686585,22.0344846375,36.21153846
71,FROZEN EVER AFTER,11 AM,12.0,67.48681727666667,5.074173369955717,60.78055965,63.127082942499996,67.941380465,70.90694739,75.1519337
72,FROZEN EVER AFTER,11 PM,12.0,13.835899833083333,6.295763603665827,5.153846154,8.74999999975,14.166666665000001,19.2576979475,24.34782609
73,FROZEN EVER AFTER,12 AM,5.0,13.849736504000001,15.104779832068282,5.0,6.25,8.093220339,9.191176471,40.71428571
74,FROZEN EVER AFTER,12 PM,12.0,72.17015797333333,5.11734007500322,65.0678733,68.276334885,72.69982757,75.0902264125,80.93898104
75,FROZEN EVER AFTER,2 PM,12.0,81.41162789916666,6.826257780266281,69.7467488,77.282184605,82.122284985,86.0373778275,91.1649061
76,FROZEN EVER AFTER,3 PM,12.0,81.7113002025,8.372682907384782,68.59483302,77.1615973775,83.947294775,84.9841223425,94.4192217
77,FROZEN EVER AFTER,4 PM,12.0,81.13985084166669,7.875380774912918,70.07250946,77.899171515,81.545578045,83.902502035,95.7615894
78,FROZEN EVER AFTER,5 PM,12.0,76.73678904833334,6.599844197700684,64.22677262,73.29831344499999,77.38811329,80.3380450225,88.29600484
79,FROZEN EVER AFTER,6 PM,12.0,71.75419984000001,5.926771786488189,61.10250569,67.99953130749999,71.526218125,76.173782355,80.9057971
80,FROZEN EVER AFTER,7 PM,12.0,67.95794230083334,5.11541038913162,59.96467566,64.200599755,68.695252695,70.2266803175,77.91851441
81,FROZEN EVER AFTER,8 AM,12.0,26.82873301666667,5.298087602880297,17.13700565,23.56411321,28.010894565,29.9400308525,35.94537815
82,FROZEN EVER AFTER,8 PM,12.0,47.98204263083334,4.9268453664147005,41.27929688,44.7456670675,47.228053185,50.0419559625,60.73046433
83,FROZEN EVER AFTER,9 AM,12.0,48.43264353666667,6.686504491225467,35.22510232,43.65578913,48.652026065,53.3540599775,57.1686747
84,FROZEN EVER AFTER,9 PM,12.0,35.15687401416667,6.2650371394531765,25.67567568,30.385864795,35.208383855,38.765967155,47.29166667
85,JUNGLE CRUISE,1 PM,11.0,56.44885512636363,6.910926378683198,44.45799458,51.248572025,58.92405063,61.32052177,65.22130014
86,JUNGLE CRUISE,10 AM,11.0,50.89736553000001,6.450414342363478,42.73255814,45.690997355,51.1042065,55.18757711,61.51135006
87,JUNGLE CRUISE,10 PM,11.0,20.92922272618182,9.931355294533839,5.277777778,13.46503213,20.830721,25.171995905000003,37.20647773
88,JUNGLE CRUISE,11 AM,11.0,58.730750227272715,6.395159726678489,48.65120836,53.69950746,58.19013304,63.15360922,68.49225268
89,JUNGLE CRUISE,11 PM,11.0,11.913671951545455,5.497070679114507,5.0,7.766693357,11.5,16.333333335,22.22222222
90,JUNGLE CRUISE,12 AM,7.0,7.348901099000001,2.9777644471150215,5.0,5.833333333500001,6.666666667,7.179487179500001,13.75
91,JUNGLE CRUISE,12 PM,11.0,54.908787647272725,5.521213915024793,44.11052976,51.430711454999994,54.35706402,59.206685414999995,62.1257485
92,JUNGLE CRUISE,2 PM,11.0,53.2078816609091,7.292030076922598,42.63576159,47.95364594,53.87323944,60.10214988,63.46611177
93,JUNGLE CRUISE,3 PM,11.0,49.36047145727273,6.555406410399226,40.40796345,44.312770855,49.01252134,52.81816298,61.14716107
94,JUNGLE CRUISE,4 PM,11.0,56.96492366818182,7.991330905259441,46.43803844,50.15858833,56.67926906,64.263364505,66.13924051
95,JUNGLE CRUISE,5 PM,11.0,53.92294200363636,6.1861076210345765,45.07544582,49.053442775,53.19656489,57.851893235,63.85416667
96,JUNGLE CRUISE,6 PM,11.0,53.22047195454545,7.598184130400485,46.24307692,47.47293559,51.21898263,56.152920995,70.62408223
97,JUNGLE CRUISE,7 PM,11.0,43.05539766909091,9.889469949705827,27.88461538,34.23832522,44.28208027,51.40212899,55.50233645
98,JUNGLE CRUISE,8 AM,7.0,16.99735016,8.430438463391761,5.0,12.1180748,15.93583416,21.591868185,30.62573099
99,JUNGLE CRUISE,8 PM,11.0,31.345511710000004,9.890761570369925,17.26315789,22.84759271,34.52981651,37.01110195,46.64387819
100,JUNGLE CRUISE,9 AM,11.0,38.93542161181818,6.478896288123596,27.98809524,35.337585085,39.95135641,44.934722135,47.91022444
101,JUNGLE CRUISE,9 PM,11.0,25.025950521818185,4.872577943645121,17.95797768,21.75904481,24.48423127,27.764514425,32.88075561
102,JUNGLE CRUISE,NOV,0.0,,,,,,,
103,JUNGLE CRUISE,OCT,0.0,,,,,,,
104,KILAMANJARO SAFARIS,1 PM,12.0,44.143549649166665,13.20038035304645,21.38804149,32.8670161025,48.031700235,54.033861165,60.0647482
105,KILAMANJARO SAFARIS,10 AM,12.0,56.74198864416666,9.669016033277478,41.59735974,49.298527465,56.694313965000006,62.995413119999995,72.39640884
106,KILAMANJARO SAFARIS,11 AM,12.0,58.793659050833334,10.341168550993196,38.34484925,52.1967509175,59.469594555,65.019285595,72.77711561
107,KILAMANJARO SAFARIS,12 PM,12.0,52.08660813083333,11.03015192938307,31.5779703,43.734881045,54.676106195,60.15081115,65.3228022
108,KILAMANJARO SAFARIS,2 PM,12.0,31.552411925833336,12.720957542955288,11.54057352,20.510846195,35.99763288,42.4687329675,47.80353201
109,KILAMANJARO SAFARIS,3 PM,12.0,25.353952362833336,10.453256718870556,9.338817794,16.87220032,27.969615304999998,32.29583473,43.13832695
110,KILAMANJARO SAFARIS,4 PM,12.0,19.156661455250003,8.861090873917394,7.992078001,11.048741605,19.69924644,24.718515132500002,33.12097351
111,KILAMANJARO SAFARIS,5 PM,11.0,13.841247431545453,6.334884171976775,7.5,8.13061482,13.69109948,18.826214495000002,25.4610951
112,KILAMANJARO SAFARIS,6 PM,8.0,9.927554025875,3.736361620014965,5.891812865,6.9195530465,8.476758794,13.383658050000001,15.42735043
113,KILAMANJARO SAFARIS,7 PM,6.0,6.669390841000001,0.7276455861703457,5.921875,6.3629032255,6.519457245,6.646825397000001,8.055555556
114,KILAMANJARO SAFARIS,8 AM,12.0,21.781286981666664,4.708600393482098,15.92462312,18.2131259625,20.277321999999998,26.12577064,29.69565217
115,KILAMANJARO SAFARIS,9 AM,12.0,41.990783442499996,8.729072307899385,28.40966921,36.22874257,38.65683919,50.822730915,55.93623188
116,MICKEY MINNIE RUNAWAY RAILWAY,1 PM,12.0,65.52415821083333,6.721757739714261,54.53601108,62.5014301825,64.562223835,70.109121595,79.69230769
117,MICKEY MINNIE RUNAWAY RAILWAY,10 AM,12.0,62.836099239166664,6.1839576708153,53.59077599,59.306515327499994,62.680072175,66.369006765,74.98563218
118,MICKEY MINNIE RUNAWAY RAILWAY,10 PM,10.0,12.1977975131,4.160233118995405,5.0,9.78159340675,12.54728226,15.48104085,17.93220339
119,MICKEY MINNIE RUNAWAY RAILWAY,11 AM,12.0,67.40238773833333,5.057335454659643,59.28940028,64.757900545,67.63746784,68.9507139775,78.18116976
120,MICKEY MINNIE RUNAWAY RAILWAY,11 PM,10.0,9.532879959099999,3.8330490994565327,5.0,7.508333333,9.7127659575,10.128761942499999,18.41666667
121,MICKEY MINNIE RUNAWAY RAILWAY,12 AM,9.0,7.780658782333333,2.837092766718849,5.0,5.0,7.246696035,10.0,13.22222222
122,MICKEY MINNIE RUNAWAY RAILWAY,12 PM,12.0,68.82852031166667,5.491470574448828,60.05621926,66.824839395,68.50408996,70.7468701775,80.64335664
123,MICKEY MINNIE RUNAWAY RAILWAY,2 PM,12.0,66.26830259249999,5.73126097650373,57.41711875,62.0666848325,67.238245915,69.13850758,75.23775216
124,MICKEY MINNIE RUNAWAY RAILWAY,3 PM,12.0,60.06430160916667,5.834157182299778,49.72798855,58.000215832500004,60.60701212,64.2490272525,68.69747899
125,MICKEY MINNIE RUNAWAY RAILWAY,4 PM,12.0,59.59688006333334,5.199017633869511,51.88031592,55.8362619825,60.11922895,61.290935632499995,68.35205993
126,MICKEY MINNIE RUNAWAY RAILWAY,5 PM,12.0,59.517529384166664,5.106577031745877,49.5173197,57.320538909999996,58.810988055,63.2971147375,68.11428571
127,MICKEY MINNIE RUNAWAY RAILWAY,6 PM,12.0,57.085306796666664,5.27177865330751,46.50096837,54.1524726225,57.012226,59.08164749,67.83261803
128,MICKEY MINNIE RUNAWAY RAILWAY,7 PM,12.0,51.58858657916665,5.8849948225217625,40.48105833,48.7015085775,52.061574135,55.7549717375,60.64362336
129,MICKEY MINNIE RUNAWAY RAILWAY,8 AM,12.0,22.048143834166666,3.8490007352397613,15.56811594,19.3736962475,21.946728620000002,23.858777205,28.83666667
130,MICKEY MINNIE RUNAWAY RAILWAY,8 PM,12.0,33.44540999666666,4.994183133633091,22.41877256,31.5234900475,34.139374775,37.10234003,39.64720195
131,MICKEY MINNIE RUNAWAY RAILWAY,9 AM,12.0,48.07133368333334,5.946756050774507,36.51211526,44.3656876725,48.572055705,51.5062858425,59.37861272
132,MICKEY MINNIE RUNAWAY RAILWAY,9 PM,12.0,19.094060077333335,6.831694065350082,9.810344828,14.1932849375,19.695395805,22.486979165,32.7245509
133,PETER PAN'S FLIGHT,1 PM,12.0,76.5956056775,4.851591279938712,67.22840314,74.86421212500001,77.56740464,79.5933786225,82.82756665
134,PETER PAN'S FLIGHT,10 AM,12.0,57.43160419666666,3.2723269668758848,50.37313433,55.418000525,59.25465135,59.7699660275,60.72575848
135,PETER PAN'S FLIGHT,10 PM,12.0,43.60848898416666,7.669381104491925,30.35447761,39.592487875,44.142287010000004,47.5215581125,58.20855615
136,PETER PAN'S FLIGHT,11 AM,12.0,70.18898367333334,4.406246689180489,60.90909091,69.28379671,70.994988035,72.5857679825,76.06338028
137,PETER PAN'S FLIGHT,11 PM,12.0,26.575823166666662,4.044569537439257,20.2994012,24.4765904625,25.7647299,29.525577560000002,33.45041322
138,PETER PAN'S FLIGHT,12 AM,12.0,20.42593961833333,4.786152245471094,14.11764706,16.785117055,20.132589865,23.5226697075,28.91666667
139,PETER PAN'S FLIGHT,12 PM,12.0,73.39867630833332,6.007193917295697,60.40697674,71.72473748,75.070983705,77.927642185,79.96489175
140,PETER PAN'S FLIGHT,2 PM,12.0,77.9533734775,5.475215815801442,67.7835408,75.68454891,77.63531702,81.387719465,88.01988636
141,PETER PAN'S FLIGHT,3 PM,12.0,75.44470551916667,7.388130619711714,63.23347107,71.2297540525,75.717190725,79.34979349,86.52542373
142,PETER PAN'S FLIGHT,4 PM,12.0,77.52670633416666,7.0000801137106965,61.23978202,75.22823063,78.088456085,83.12019513999999,86.4939897
143,PETER PAN'S FLIGHT,5 PM,12.0,74.08194779916667,6.36656085512915,61.18205632,71.22080584,74.16945323,79.35311724249999,82.85464098
144,PETER PAN'S FLIGHT,6 PM,12.0,74.73867954583334,5.988752080094493,62.45879121,72.5405457075,74.391311535,77.7426208,84.21641791
145,PETER PAN'S FLIGHT,7 AM,8.0,33.44678766375,5.7981488112340696,25.11304348,29.7272444575,33.640648889999994,36.217787115,43.7983871
146,PETER PAN'S FLIGHT,7 PM,12.0,64.14838413916667,7.331648406951261,54.77393617,56.2066095525,65.062218415,69.6299624625,74.25194494
147,PETER PAN'S FLIGHT,8 AM,12.0,43.50281928333333,4.806061513983483,37.28396947,39.4566115075,42.884758995,47.5607551475,50.51122195
148,PETER PAN'S FLIGHT,8 PM,12.0,56.13001396083334,5.948001047777122,46.36514248,52.1913772275,55.62189195,59.71347942,67.42405063
149,PETER PAN'S FLIGHT,9 AM,12.0,49.311308878333335,4.872630313810673,40.0983405,45.735311475,48.779974635,53.4537873825,57.01588271
150,PETER PAN'S FLIGHT,9 PM,12.0,51.092059944999995,8.746344224578921,39.59162663,43.1216981475,52.78372583,55.9880405475,66.79945055
151,REMY'S RATATOUILLE ADVENTRUE,1 PM,12.0,73.38184279916668,9.030182915048583,59.09539474,65.22079753999999,75.794155445,78.892483435,88.33232262
152,REMY'S RATATOUILLE ADVENTRUE,10 AM,12.0,53.1248552525,9.478911723342131,39.46955345,43.935471907499995,52.728482475,59.986776320000004,69.75835322
153,REMY'S RATATOUILLE ADVENTRUE,10 PM,12.0,20.504490187499997,8.081507173123583,10.19230769,15.4714062175,18.43080762,23.0214785175,39.52302632
154,REMY'S RATATOUILLE ADVENTRUE,11 AM,12.0,64.33367325083331,9.000894937158943,49.64705882,56.4136927475,65.41262178,71.63370215750001,77.19537815
155,REMY'S RATATOUILLE ADVENTRUE,11 PM,12.0,14.506546317749999,10.689771352821527,5.0,8.50520833325,11.175656985,14.658687735,43.29608939
156,REMY'S RATATOUILLE ADVENTRUE,12 AM,5.0,21.585513902000002,22.177740374223973,7.5,10.0,14.65517241,14.91525424,60.85714286
157,REMY'S RATATOUILLE ADVENTRUE,12 PM,12.0,65.05536524833333,10.749573993869323,49.23925028,53.8098267275,67.41139457,73.76894441499999,78.86666667
158,REMY'S RATATOUILLE ADVENTRUE,2 PM,12.0,81.33921277583333,13.988383808224842,60.88650101,69.692661285,85.23683409,91.0776197325,101.3737836
159,REMY'S RATATOUILLE ADVENTRUE,3 PM,12.0,85.45382651833332,12.959184793135938,69.14885496,72.92002937,85.97670166,93.8760578725,108.3898792
160,REMY'S RATATOUILLE ADVENTRUE,4 PM,12.0,82.71264691083333,11.646615314600163,65.3956044,71.4937460325,84.972240315,89.1326105375,104.3595041
161,REMY'S RATATOUILLE ADVENTRUE,5 PM,12.0,80.93223988583334,11.549107558464666,65.11291257,69.5251344075,82.55152933,89.091442675,99.25206125
162,REMY'S RATATOUILLE ADVENTRUE,6 PM,12.0,78.50140945583333,12.96215897899709,59.38942892,67.76077434,77.11976016,87.1446442175,100.2791116
163,REMY'S RATATOUILLE ADVENTRUE,7 PM,12.0,75.21836526833333,11.292295846927418,57.81396714,65.496766655,75.72233512,82.85083325,94.52196382
